iconFont,iconName,category
😀,활짝 웃는 얼굴,A
😃,눈을 크게 뜨고 웃는 얼굴,A
😄,미소 짓는 눈으로 활짝 웃는 얼굴,A
😁,미소 짓는 눈으로 웃는 얼굴,A
😆,눈웃음짓는 얼굴,A
😅,땀 흘리며 웃는 얼굴,A
🤣,바닥을 구르며 웃는 얼굴,A
😂,기쁨의 눈물을 흘리는 얼굴,A
🙂,살짝 미소 짓는 얼굴,A
🙃,거꾸로 된 얼굴,A
🫠,녹아 내리는 얼굴,A
😉,윙크하는 얼굴,A
😊,미소 짓는 눈으로 살짝 웃는 얼굴,A
😇,후광이 비치는 웃는 얼굴,A
🥰,하트와 함께 웃는 얼굴,A
😍,하트 눈 얼굴,A
🤩,반한 얼굴,A
😘,키스를 보내는 얼굴,A
😗,키스하는 얼굴,A
☺,웃는 얼굴,A
😚,눈을 감은 채로 키스하는 얼굴,A
😙,미소 짓는 눈으로 키스하는 얼굴,A
🥲,눈물 흘리며 웃는 얼굴,A
😋,맛있는 음식을 음미하는 얼굴,A
😛,혀를 내민 얼굴,A
😜,윙크하면서 혀를 내민 얼굴,A
🤪,괴짜 얼굴,A
😝,눈을 감고 메롱하는 얼굴,A
🤑,돈 모양의 입이 있는 얼굴,A
🤗,포옹하고 있는 얼굴,A
🤭,손으로 입을 가린 얼굴,A
🫢,눈을 뜨고 손으로 입을 가린 얼굴,A
🫣,한쪽 눈을 가리고 훔쳐보는 얼굴,A
🤫,쉿 하는 얼굴,A
🤔,생각하는 얼굴,A
🫡,경례하는 얼굴,A
🤐,지퍼로 입을 잠근 얼굴,A
🤨,눈썹을 치켜올린 얼굴,A
😐,덤덤한 얼굴,A
😑,무표정한 얼굴,A
😶,입이 없는 얼굴,A
🫥,테두리가 점선으로 된 얼굴,A
😶‍🌫️,공상에 잠긴 얼굴,A
😏,히죽거리는 얼굴,A
😒,지루해하는 얼굴,A
🙄,눈을 굴리고 있는 얼굴,A
😬,찌푸린 얼굴,A
😮‍💨,날숨 쉬는 얼굴,A
🤥,거짓말하는 얼굴,A
😌,안심한 얼굴,A
😔,수심 어린 얼굴,A
😪,졸린 얼굴,A
🤤,침 흘리는 얼굴,A
😴,졸고 있는 얼굴,A
😷,마스크 낀 얼굴,A
🤒,체온계를 물고 있는 얼굴,A
🤕,머리에 붕대를 감은 얼굴,A
🤢,구역질을 하는 얼굴,A
🤮,토하는 얼굴,A
